antecedent,consequent,confidence,lift,support
"8,10",11,0.5119041292448318,2.557553451753578,0.0521151284911365
"8,10",5,0.6772953534924093,2.4993236597947814,0.06895301748352325
"8,10",3,0.5430993250783865,2.2319026559474704,0.05529099980432593
"8,10",4,0.5011780127898532,2.134260691925216,0.05102314093853219
"8,10",6,0.5442064799560681,2.3700456778366665,0.05540371528250557
"8,10",7,0.5072983649536766,2.4906798472393517,0.05164623210190922
"14,10",5,0.7024942651622881,2.592311505957988,0.061027766781756684
"14,10",3,0.6231303391079602,2.5607954100399084,0.05413318641246471
"14,10",4,0.5834898952678507,2.4847848784777087,0.05068950312312047
"14,10",6,0.6035955615989039,2.6286880157038204,0.05243614217299211
"14,10",11,0.5875380160056466,2.935432232376081,0.05104117541504093
31,3,0.7864834871246841,3.2321059937223398,0.06901703987512929
31,6,0.5882570541934689,2.5618880702425835,0.05162188555862242
"8,6",5,0.7009824229153104,2.5867325763547293,0.06408280710233753
"8,6",10,0.6060444654869701,2.3150717799306215,0.05540371528250557
"8,6",3,0.6383085754867728,2.6231713779746517,0.05835325391551028
"17,7",4,0.7306864854292978,3.111619832026898,0.057270283601160335
"12,8",5,0.7270940377254388,2.683088436990547,0.057038540578023
"19,6",5,0.6928572242414575,2.5567493479428105,0.054833825824829326
"19,6",10,0.6497202821105883,2.481912096588768,0.05141989942172451
"19,6",3,0.6443082251871433,2.6478273358863627,0.050991580604641894
"14,3",5,0.6784541927782751,2.503599954368677,0.05740193527967415
"14,3",10,0.6398196700345312,2.4440920537922337,0.05413318641246471
"14,3",6,0.6831969135013003,2.975355773209133,0.05780320238199366
"14,3",16,0.6195805090164983,3.065264967958812,0.05242081286795968
"14,3",11,0.6067165451677538,3.031251177088372,0.051332432210657114
"14,3",9,0.604275909110287,3.153869200002305,0.05112593745463202
"14,3",21,0.6046276164897472,3.3159136683321395,0.051155694340871444
"7,6",5,0.6858052096894438,2.5307263334216246,0.055576846256989484
"7,6",10,0.6252628767900658,2.3884855378256735,0.05067056692278629
"7,6",3,0.6802750609206529,2.795635430083608,0.05512868951574725
"7,6",4,0.6877635722313094,2.928833109378319,0.05573554965026641
"14,9",3,0.733261772047127,3.0133878297501515,0.05112593745463202
"9,7",4,0.6703907248053607,2.854851042284798,0.05015838778993802
41,3,0.6509054132151801,2.674938917141661,0.060935790951562104
"9,3",5,0.5946109597335756,2.1942055742333735,0.06198449576054543
"9,3",10,0.5654253708749621,2.159908050175196,0.0589420795735207
"9,3",4,0.5103412482159077,2.1732822225622455,0.053199902253137324
"9,3",6,0.5853812551360236,2.5493638255349955,0.06102235643880406
"9,3",16,0.5530902642619264,2.7363162437958817,0.057656221398447415
"9,3",11,0.5202543142597639,2.5992722879333634,0.05423327775708823
"9,3",14,0.49044591496907575,3.027812907933968,0.05112593745463202
"9,3",21,0.5395787379438606,2.9591710062416454,0.05624772878311468
"11,3",5,0.6656798235142439,2.4564605739256864,0.06285375752826679
"11,3",10,0.6194096131256506,2.3661262452297205,0.0584849055940241
"11,3",4,0.5740753120493549,2.444692986213234,0.054204422594674236
"11,3",6,0.6566836340021583,2.859889151997108,0.06200433368470505
"11,3",16,0.5824984958600338,2.8818082674723358,0.05499974300870975
"11,3",9,0.5743809150901051,2.9978396455338405,0.05423327775708823
"11,3",14,0.543658259399681,3.3563242043091734,0.051332432210657114
"11,3",21,0.5739607109090735,3.1477294693192395,0.05419360190876899
"14,8",5,0.712943971985993,2.630872525707694,0.05140457011669208
"9,11",5,0.691312518068806,2.551049145416939,0.051749930341834484
"9,11",3,0.7244868459092223,2.9773266894603796,0.05423327775708823
"25,4",7,0.701563459923018,3.4444620600134055,0.0504568583761577
"11,16",5,0.6834954057765521,2.5222028029718597,0.05520353259325853
"11,16",10,0.6350746351974456,2.425966162258354,0.051292756362337884
"11,16",3,0.6809722113677723,2.798500416031245,0.05499974300870975
"11,16",21,0.6553718362379841,3.594206368273479,0.05293209027698251
33,3,0.5931977420361387,2.437785419382377,0.05657054591262116
"6,10,5",3,0.6766252892909741,2.780636451779398,0.05219898880690216
"21,9",3,0.7682303533381776,3.1570935311832113,0.05624772878311468
"21,9",16,0.6947547323176965,3.4371761398329097,0.050868044440557016
"11,5",10,0.6229630674979039,2.3797003349326347,0.06766896275610083
"11,5",3,0.5786341034176469,2.3779351816598764,0.06285375752826679
"11,5",4,0.5467986020603837,2.3285354365026176,0.05939564665771555
"11,5",6,0.6148028855333173,2.6774964563034547,0.06678256823569619
"11,5",8,0.5352265840963616,2.337777320183505,0.058138643645056255
"11,5",7,0.470733752272482,2.311158779917402,0.051133151245235514
"11,5",16,0.5082058391373284,2.5142584903010294,0.05520353259325853
"11,5",13,0.4658940919618472,2.7902946602931036,0.0506074462550057
"11,5",9,0.47641184430073963,2.486514222399964,0.051749930341834484
